category,title,triggers,proactive_triggers,goal,exercise_type,description
OCD,Name it to Tame it,"['intrusive thoughts', ""scary thoughts won't go away"", 'obsessing over something', 'my OCD is acting up', 'unwanted thoughts', 'unwanted violent thoughts', 'horrible images in my head', 'fear that my thoughts will come true']","['how to deal with intrusive thoughts', 'a mindfulness exercise for OCD', 'a way to get distance from my thoughts', 'how to stop identifying with my thoughts']",To create psychological distance from obsessive thoughts and recognize them as symptoms.,Mindfulness,"Create distance from obsessive thoughts by labeling them neutrally when they appear (e.g., 'This is an obsessive thought'). This separates you from the thought and reduces its impact."
OCD,Mindful Observation,"['how do I stop obsessive thoughts', ""can't get this image out of my head"", 'stuck on a thought', 'fighting with my own mind', 'I keep fighting my thoughts and it makes it worse', 'how to let go of thoughts']","['a simple mindfulness exercise', 'how to observe my thoughts', 'a meditation for beginners', 'how to practice non-judgment']",To stop fighting with obsessive thoughts and instead let them pass without engagement.,Mindfulness,"Instead of fighting an obsessive thought, simply observe it without judgment, like a cloud passing in the sky. Acknowledge it without giving it energy."
PTSD,Safe Place Visualization,"['feel unsafe', 'need to calm down now', 'feeling triggered', 'bad memory came up', 'anxious and scared', 'feeling on high alert', 'hypervigilant', 'need a mental escape']","['a calming visualization', 'how to create a mental safe space', 'a relaxation exercise', 'a way to feel secure']",To activate your body's relaxation response and create an internal sense of safety.,Visualization,"Calm your nervous system by closing your eyes and imagining a place where you feel completely safe. Focus on the sensory details (sights, sounds, smells) of this place."
PTSD,Anchor to the Present,"['flashback', ""feel like I'm not here"", 'dissociating', 'reliving something bad', 'losing touch with reality', 'zoning out', ""world doesn't feel real"", 'feel disconnected', 'triggered by a sound or smell']","['a grounding exercise for trauma', 'how to stay in the present moment', 'a technique for dissociation', 'a reality check technique']",To bring your awareness back to the present moment and interrupt a flashback or dissociation.,Grounding Technique,"If you feel a flashback starting, anchor yourself by focusing on a physical object. Notice its texture, temperature, color, and weight to ground you in the present."
PTSD,Self-Soothing Kit,"['feeling distressed', 'need comfort', 'overwhelmed by emotion', 'need to self-soothe', 'feeling emotionally raw', 'emotionally dysregulated', 'need to feel comforted and safe']","['ideas for a self-care box', 'how to comfort myself', 'sensory tools for stress', 'a list of comforting activities']",To provide immediate sensory comfort and regulate intense emotions.,Sensory Tool,"Create a box with items that comfort your senses (e.g., a smooth stone, essential oil, soft fabric). Use it to self-soothe when you feel distressed."
Eating Disorders,Mindful Eating Bite,"['scared to eat', 'feel disconnected from my body when eating', 'want to eat more mindfully', 'guilt around food', 'eating feels automatic', 'I eat without thinking', 'binge eating', 'feel out of control with food']","['how to practice mindful eating', 'an exercise to enjoy my food more', 'a way to listen to my body', 'a better relationship with food']",To reconnect with your body's hunger and fullness cues and reduce judgment around food.,Mindfulness,"Reconnect with your body's signals by focusing entirely on a single bite of food. Put your fork down, chew slowly, and notice the flavors and textures without judgment."
Eating Disorders,Urge Delay & Distraction,"['urge to binge', 'feel like I need to purge', 'want to restrict my food', 'struggling with an eating disorder urge', 'binge-purge cycle', 'feel the need to binge', 'want to make myself throw up', 'obsessed with restricting calories']","['how to handle food urges', 'a technique to stop bingeing', 'coping with urges', 'a strategy for difficult food moments']",To ride out a behavioral urge by proving it is temporary and will decrease in intensity.,Distress Tolerance,"When an urge related to a disordered behavior arises, set a 15-minute timer and engage in a distracting activity. The urge will often decrease in intensity."
Eating Disorders,Challenge a Food Rule,"['I have strict food rules', 'afraid of eating certain foods', ""can't eat carbs"", 'guilty after eating', 'labeling foods as good or bad', 'I feel so guilty when I eat sugar', ""I can't eat bread"", 'fear foods']","['how to have a better relationship with food', 'a way to be less rigid about eating', 'food freedom exercise', 'how to stop labeling foods']","To systematically dismantle rigid, anxiety-provoking food rules and increase food flexibility.",Cognitive Restructuring,"Identify a rigid food rule (e.g., 'no eating after 8 PM') and challenge it in a small, manageable way to prove that breaking the rule is not catastrophic."
Insomnia & Sleep Disorders,The 20-Minute Rule,"[""can't fall asleep"", 'tossing and turning', 'been lying awake for hours', ""frustrated I can't sleep"", 'insomnia', ""I'm so angry I can't sleep"", 'watching the clock all night']","[""what to do when I can't sleep"", 'a rule for better sleep', 'how to handle insomnia', 'a tip for better sleep hygiene']",To break the mental association between your bed and the frustration of being awake.,Sleep Hygiene,"If you can't sleep after 20 minutes, get out of bed. Do a calm, boring activity in low light until you feel sleepy, then return to bed. This breaks the bed-frustration link."
Insomnia & Sleep Disorders,Download Your Brain,"[""mind won't shut up at night"", 'thinking about my to-do list in bed', 'too many worries to sleep', ""can't turn my brain off"", 'racing thoughts at bedtime', 'replaying my day', 'planning tomorrow in my head', 'anxious about work in bed']","['how to clear my mind before bed', 'a journaling exercise for sleep', 'a way to stop overthinking at night', 'a pre-sleep ritual']","To get thoughts and worries out of your head and onto paper, preventing them from disrupting sleep.",Cognitive Strategy,"Before bed, write down all your worries, thoughts, and to-do items. This gets them out of your head so they don't surface as you're trying to fall asleep."
Insomnia & Sleep Disorders,The 'Wind Down' Hour,"['how to get ready for bed', 'I use my phone in bed', ""can't relax before sleep"", 'need a better bedtime routine', 'poor sleep hygiene', 'I look at my phone until I fall asleep', ""I'm too wired to sleep""]","['ideas for a bedtime routine', 'how to relax before sleep', 'a healthy sleep habit', 'how to improve my sleep hygiene']",To signal to your brain and body that it's time to prepare for sleep.,Sleep Hygiene,"Dedicate the last hour before bed to relaxing, screen-free activities like taking a warm bath, listening to calm music, or reading a physical book to signal sleep time."
Substance Use Disorders,Urge Surfing,"['craving a drink', 'urge to use drugs', 'fighting a craving', 'I want to relapse', 'addiction urges', 'the craving is so strong', ""I feel like I'm going to give in""]","['a mindfulness technique for cravings', 'how to handle urges without acting on them', 'a way to manage addiction urges', 'a sobriety tool']","To mindfully observe a craving without acting on it, understanding that it will pass.",Mindfulness,"Manage cravings by visualizing them as a wave that builds, peaks, and passes. Ride the wave without acting on it, knowing the feeling is temporary."
Substance Use Disorders,Identify One Trigger,"['why did I use yesterday', 'want to understand my triggers', 'how to avoid relapse', 'what causes my cravings', 'people places and things', ""I always drink when I'm stressed"", 'I only use with certain friends']","['how to understand my addiction', 'an exercise for self-awareness', 'how to prevent relapse', 'a way to identify my high-risk situations']",To increase self-awareness about the specific cues that lead to substance use.,Self-Monitoring,"Increase self-awareness by identifying one specific trigger (a person, place, or feeling) that led to your last use. This is the first step to managing it."
Substance Use Disorders,Plan a Healthy Distraction,"['what to do when I have a craving', 'need a distraction from using', 'how to cope with urges', 'healthy coping mechanisms', ""I'm bored and I want to use"", 'need something to do instead of drinking']","['ideas for healthy coping skills', 'a list of things to do instead of using', 'how to build a relapse prevention plan', 'positive activities for sobriety']","To have a pre-planned, healthy alternative action to take when a craving hits.",Behavioral Strategy,"Have a pre-planned list of engaging activities to do immediately when a craving hits, such as going for a walk or calling a friend."
Bipolar Disorder,Daily Mood & Sleep Log,"['my mood is all over the place', 'how to track my moods', 'worried about mania or depression', 'need to see my patterns', 'is this a bipolar episode starting', 'I think I might be getting manic', 'I feel a depressive episode coming on']","['a tool for mood tracking', 'how to monitor my bipolar disorder', 'a daily check-in for mental health', 'a way to see my mood patterns']",To create awareness of mood patterns and identify early warning signs of a manic or depressive episode.,Self-Monitoring,Track mood and sleep daily on a simple scale. This practice increases awareness of your patterns and can help you spot early warning signs of an episode.
Bipolar Disorder,Activity Pacing,"['I get overstimulated easily', 'social events exhaust me', 'need to balance my energy', 'avoiding a manic episode', 'recovering from a depressive episode', ""I have so much energy I can't slow down"", 'I have no energy for anything']","['how to manage my energy with bipolar disorder', 'a strategy for preventing mood swings', 'a lifestyle tip for stability', 'how to avoid burnout']",To manage energy levels and maintain stability by balancing high- and low-stimulation activities.,Lifestyle Management,"Maintain balance by scheduling a low-energy, calming activity after a high-energy one. This helps prevent becoming over-stimulated or overly withdrawn."
Bipolar Disorder,Anchor Your Day,"['my routine is a mess', 'need more stability', 'how to manage bipolar disorder daily', 'my sleep schedule is erratic', 'life feels chaotic', 'my sleep is all over the place', 'I need a routine to stay stable']","['how to create a healthy routine', 'the importance of routine for bipolar disorder', 'a tip for daily stability', 'a way to structure my day']",To provide structure and stability for your biological rhythms through a consistent daily routine.,Lifestyle Management,"Create stability by having 2-3 fixed anchor points in your daily schedule, like waking up and eating meals at the same time every day."
Phobia & Panic Disorder,Create a Fear Ladder,"[""I'm scared of spiders"", 'how to get over my fear of heights', 'afraid of flying', 'specific phobia', ""avoiding something I'm scared of"", 'fear of dogs', 'fear of public speaking', 'social anxiety']","['how to face my fears', 'an exercise for phobias', 'a plan to overcome anxiety', 'a step-by-step approach to my fear']","To create a structured, step-by-step plan to gradually face a specific fear.",Exposure Therapy Prep,"For a specific phobia, list 10 scenarios ranked from least to most scary. This is a safe first step toward gradually facing the fear."
Phobia & Panic Disorder,Calm Breathing Practice,"['how to prevent a panic attack', 'need a breathing technique for panic', 'scared of having another panic attack', 'learn to manage panic', ""I'm scared of the physical feelings of panic"", 'how to stop panic before it starts']","['a breathing exercise for anxiety', 'how to practice calm breathing', 'a daily breathing exercise', 'a way to prepare for stressful situations']",To build a reliable skill for calming your body's panic response before it escalates.,Breathing Exercise,Practice slow belly breathing when you're calm to build muscle memory. This makes the technique easier to use during moments of panic.
Phobia & Panic Disorder,Fact-Check Your Panic,"[""I think I'm dying"", 'having a panic attack right now', 'my heart is beating so fast', ""feel like I'm going crazy"", 'losing control', ""I feel like I'm having a heart attack"", ""I'm going to suffocate"", ""I'm losing my mind""]","['what to do during a panic attack', 'how to talk myself down from panic', 'a cognitive trick for panic', 'how to challenge anxious thoughts']",To challenge the catastrophic thoughts that fuel panic by grounding yourself in reality.,Cognitive Reframing,"When panic starts, question your fear. Ask 'What am I afraid will happen?' and remind yourself that the feeling, while scary, is not dangerous and will pass."
General Well-Being,Mindful Listening,"['the world is too noisy', 'I feel distracted', 'my mind is cluttered', 'need to focus']","['a simple mindfulness exercise', 'an activity to be more present', 'a quick meditation', 'a 1-minute mindfulness practice']",To anchor your attention in the present moment by focusing on the sense of hearing.,Mindfulness,"Close your eyes for 60 seconds. Simply notice all the sounds around you, near and far, without judging them. Just let them come and go."
General Well-Being,Simple Gratitude,"['feeling a bit down', 'stuck in a negative mood', 'everything feels bad']","['how to practice gratitude', 'a quick positive exercise', 'a way to improve my mood', 'an exercise to feel happier']",To shift your focus toward positive things and cultivate a sense of gratitude.,Positive Psychology,Take 30 seconds to think of one specific person or thing you are genuinely grateful for. Try to feel the gratitude in your body.
General Well-Being,Body Scan Meditation,"['tense muscles', 'physical stress', 'disconnected from my body', 'need to relax my body']","['a simple meditation', 'a body awareness exercise', 'a way to check in with myself', 'a relaxation technique for physical tension']",To increase body awareness and release physical tension by systematically focusing on different parts of the body.,Mindfulness,"Lie down comfortably. Bring your attention to your feet, noticing any sensations. Slowly move your focus up through your legs, torso, arms, and head, simply observing without judgment."
Self-Esteem,Strengths List,"['I feel useless', ""I'm not good at anything"", 'low self-worth', 'feeling inadequate', 'comparing myself to others']","['how to build self-confidence', 'an exercise to feel better about myself', 'how to recognize my good qualities', 'a self-esteem booster']",To counteract negative self-perception by focusing on your positive attributes and accomplishments.,Positive Psychology,"Take five minutes to write down a list of your strengths and positive qualities. Think about skills, personality traits, and past achievements, no matter how small."
Anger & Frustration,Take a Time-Out,"[""I'm so angry"", ""I'm about to lose my temper"", 'feeling irritable', 'frustrated with someone', 'need to cool off']","['how to manage my anger', 'a strategy for when I feel frustrated', 'a way to avoid saying something I regret']",To de-escalate rising anger by physically removing yourself from a triggering situation.,Anger Management,"When you feel your anger escalating, step away from the situation. Go to another room or take a short walk for at least 15 minutes to cool down before re-engaging."
Anger & Frustration,'I Feel' Statements,"['arguing with someone', 'feeling misunderstood', 'blaming others', 'you always make me feel...']","['how to communicate my feelings better', 'a healthy way to express anger', 'a tool for arguments', 'how to have more constructive conversations']","To express difficult feelings constructively without blaming others, reducing defensiveness.",Communication Skill,Structure your feelings in a non-accusatory way. Use the format: 'I feel [your emotion] when [the specific situation] because [the impact on you].'
Relationship Stress,Active Listening,"['we keep having the same fight', ""my partner doesn't listen to me"", 'communication problems', ""we don't understand each other""]","['how to be a better listener', 'an exercise for couples', 'how to improve our communication', 'a way to connect with my partner']",To improve understanding and reduce conflict by focusing entirely on what your partner is saying.,Communication Skill,"When your partner is talking, just listen without planning your response. When they finish, summarize what you heard by saying, 'So, what I hear you saying is...' to ensure you understand correctly before you reply."
Grief & Loss,Write a Letter,"['missing someone I lost', 'sad about a death', 'unresolved feelings about someone who passed away', 'grieving', 'I never got to say goodbye']","['an exercise for grief', 'how to process loss', 'a way to remember someone', 'a therapeutic writing exercise']",To process complex emotions and express unspoken feelings related to a loss.,Expressive Writing,Write a letter to the person you've lost. Say everything you need to say—good and bad. You don't have to send it; the purpose is to get the feelings out.
